dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,iqr,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,iqr_1.2,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,iqr_1.8,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,none,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_2.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_3.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust_2.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
balance,zscore_robust_3.5,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.7048320000000001,0.0508389671020173,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
blood,iqr,minmax,correlation,0.1049604613007153,0.1049604613007153,0.1049604613007153,0.0,0.6709770114942534,0.6709770114942529,0.6709770114942529,4.440892098500626e-16,0.7729885057471263,1.1102230246251563e-16,0.7635879830860612,0.7635879830860615,0.7635879830860615,2.220446049250313e-16
blood,iqr_1.2,minmax,correlation,0.0937312753632924,0.0937312753632923,0.0937312753632923,4.163336342344337e-17,0.6592920353982298,0.6592920353982301,0.6592920353982301,3.3306690738754696e-16,0.7728613569321535,1.1102230246251563e-16,0.7742463274470743,0.7742463274470743,0.7742463274470743,0.0
blood,iqr_1.8,minmax,correlation,0.1027730319401409,0.1027730319401409,0.1027730319401409,2.775557561562892e-17,0.6713286713286714,0.6713286713286714,0.6713286713286714,0.0,0.7720279720279721,1.1102230246251563e-16,0.7809839284315006,0.7809839284315007,0.7809839284315007,1.1102230246251563e-16
blood,none,robust,chebyshev,0.08243904391859,0.08243904391859,0.08243904391859,1.3877787807814457e-17,0.7205882352941175,0.7205882352941176,0.7205882352941176,1.1102230246251563e-16,0.7620320855614974,0.0,0.4927474380779352,0.4927474380779351,0.4927474380779351,5.551115123125783e-17
blood,zscore,minmax,correlation,0.107782540159996,0.107782540159996,0.107782540159996,0.0,0.6776406035665294,0.6776406035665294,0.6776406035665294,0.0,0.7654320987654321,0.0,0.7776212595869569,0.7776212595869572,0.7776212595869572,2.220446049250313e-16
