dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
blood,iqr,none,euclidean,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6495838970726017,0.6495838970726016,0.6495838970726016,1.1102230246251563e-16
blood,iqr,none,manhattan,0.0564510252887624,0.0564510252887624,0.0564510252887624,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6293103448275863,1.1102230246251563e-16,0.6293103448275862,0.6293103448275862,0.6197886207889878,0.6197886207889877,0.6197886207889877,1.1102230246251563e-16
blood,iqr,none,cosine,-0.0567172227077136,-0.0567172227077136,-0.0567172227077136,2.0816681711721685e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5258620689655171,1.1102230246251563e-16,0.5258620689655172,0.5258620689655172,0.724883475846785,0.7248834758467853,0.7248834758467853,2.220446049250313e-16
blood,iqr,none,minkowski,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6500772146405075,0.6500772146405076,0.6500772146405076,1.1102230246251563e-16
blood,iqr,none,chebyshev,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6502610472589347,0.6502610472589346,0.6502610472589346,1.1102230246251563e-16
blood,iqr,none,correlation,-0.0395566852275077,-0.0395566852275077,-0.0395566852275077,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5043103448275863,1.1102230246251563e-16,0.5043103448275862,0.5043103448275862,0.6070382167968525,0.6070382167968525,0.6070382167968525,0.0
blood,iqr,none,hamming,-0.0090803785151446,-0.0693545074604526,0.1074871948605876,0.0569273300252973,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6113362068965518,0.0585327599354858,0.5603448275862069,0.7140804597701149,0.1214772367720749,0.0770644695869008,0.1463270447285845,0.0276606469844195
blood,iqr,minmax,euclidean,0.049479743651014,0.0479824123662445,0.0560242612174476,0.0012606151915648,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6447701149425287,0.0009337975177742,0.6422413793103449,0.6479885057471264,0.4020724358452263,0.3987477995876479,0.4025124762459673,0.0011380573442088
blood,iqr,minmax,manhattan,0.0611949515180335,0.0611949515180335,0.0611949515180335,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.632183908045977,0.0,0.632183908045977,0.632183908045977,0.4294868797013234,0.4294868797013235,0.4294868797013235,1.1102230246251563e-16
blood,iqr,minmax,cosine,0.0296289989504192,0.0296289989504192,0.0296289989504192,3.469446951953614e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5876436781609196,0.0,0.5876436781609196,0.5876436781609196,0.7368442720545153,0.7368442720545154,0.7368442720545154,1.1102230246251563e-16
