dataset,norm,outlier_method,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,minmax,none,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,iqr,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,iqr_1.2,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,iqr_1.8,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore_robust,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore_robust_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,minmax,zscore_robust_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,none,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,iqr,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,iqr_1.2,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,iqr_1.8,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore_robust,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore_robust_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,none,zscore_robust_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,none,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,iqr,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,iqr_1.2,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,iqr_1.8,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore_robust,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore_robust_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,robust,zscore_robust_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,none,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,iqr,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,iqr_1.2,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,iqr_1.8,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore_robust,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore_robust_2.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,standard,zscore_robust_3.5,hamming,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
blood,minmax,none,chebyshev,-0.0161725779098106,-0.0161725779098107,-0.0161725779098107,3.469446951953614e-18,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5762032085561498,1.1102230246251563e-16,0.5762032085561497,0.5762032085561497,0.5278092133595961,0.527809213359596,0.527809213359596,1.1102230246251563e-16
blood,none,iqr_1.8,cosine,-0.0592878070875315,-0.0592878070875315,-0.0592878070875315,6.938893903907228e-18,0.7720279720279721,0.772027972027972,0.772027972027972,1.1102230246251563e-16,0.5314685314685317,2.220446049250313e-16,0.5314685314685315,0.5314685314685315,0.7324821210112934,0.7324821210112936,0.7324821210112936,2.220446049250313e-16
blood,robust,none,hamming,-0.0171356058949072,-0.0546215946211794,0.0994851397960696,0.0396675958611974,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5806550802139039,0.0400686336561566,0.5574866310160428,0.7045454545454546,0.1193423860016466,0.0726411351978267,0.1376880283081888,0.0156773568584946
blood,standard,iqr_1.2,hamming,-0.0142771760331624,-0.043207711769733,0.0143920259114881,0.0231127268805781,0.7728613569321535,0.7728613569321534,0.7728613569321534,1.1102230246251563e-16,0.5777581120943954,0.0152068830794669,0.5530973451327433,0.6076696165191741,0.1350087615911847,0.1288276739833908,0.1471389953625908,0.0065123244059138
cancer,minmax,iqr_1.8,hamming,-0.0169032831556273,-0.0318176282301258,0.0350380291222712,0.0130158869942248,0.717123287671233,0.7168949771689498,0.728310502283105,0.0013115439832278,0.6970776255707761,0.0086268747911417,0.6872146118721462,0.728310502283105,0.0010244951667534,-9.610026924391768e-05,0.0022624118943568,0.0008008405049492
cancer,none,iqr_1.2,hamming,-0.0116856095228353,-0.0456385843976731,0.115630913809973,0.0360826933486528,0.7829885057471264,0.7816091954022989,0.8045977011494253,0.0048677855581286,0.7619252873563218,0.013663030122406,0.7442528735632183,0.8045977011494253,0.0004074445402824,6.47339577206294e-05,0.0010362833158132,0.0001524792809881
