dataset,norm,outlier_method,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,minmax,none,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore_2.5,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore_3.5,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,iqr,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,iqr_1.2,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,iqr_1.8,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore_robust,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore_robust_2.5,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,minmax,zscore_robust_3.5,correlation,0.2258943321271126,0.0954656218444042,0.3745303701678211,0.1120274156282597,0.5619199999999999,0.472,0.6528,0.0679124141817974,0.7047040000000001,0.0506754731995666,0.3940899370998364,0.3933103269153972,0.3950614609298302,0.0003942557768783
balance,none,none,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore_2.5,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,zscore_3.5,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,iqr,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
balance,none,iqr_1.2,correlation,0.2237180857799928,0.0954656218444042,0.3745303701678211,0.1115822213948968,0.560528,0.472,0.6528,0.0677909464161697,0.7038880000000002,0.050562660689485,0.3940959740676784,0.393310327464392,0.395061461484996,0.0003908845714958
