dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
blood,none,none,euclidean,0.079541753214236,0.079541753214236,0.079541753214236,0.0,0.7232620320855615,0.7232620320855615,0.7232620320855615,0.0,0.7620320855614974,0.0,0.7025413950356177,0.7025413950356174,0.7025413950356174,3.3306690738754696e-16
blood,none,none,minkowski,0.079541753214236,0.079541753214236,0.079541753214236,0.0,0.7232620320855615,0.7232620320855615,0.7232620320855615,0.0,0.7620320855614974,0.0,0.7027873731634483,0.7027873731634484,0.7027873731634484,1.1102230246251563e-16
blood,none,none,chebyshev,0.079541753214236,0.079541753214236,0.079541753214236,0.0,0.7232620320855615,0.7232620320855615,0.7232620320855615,0.0,0.7620320855614974,0.0,0.7028644913783153,0.7028644913783151,0.7028644913783151,2.220446049250313e-16
cancer,zscore_2.5,minmax,euclidean,0.7949389724970305,0.7949389724970302,0.7949389724970302,3.3306690738754696e-16,0.947483588621444,0.9474835886214442,0.9474835886214442,1.1102230246251563e-16,0.947483588621444,1.1102230246251563e-16,0.360144827049205,0.360144827049205,0.360144827049205,0.0
ecoli,none,standard,minkowski,0.5044582093393373,0.4109682142938584,0.72209733263838,0.0494506447445684,0.6472023809523809,0.5595238095238095,0.7946428571428571,0.0389992713897867,0.823125,0.0123090215311543,0.2702176663487684,0.2457645630064652,0.337354540542913,0.0153604231742911
glass,zscore_robust,minmax,cosine,0.3368827319228559,0.1120162251809262,0.4114101756936094,0.0769151201315095,0.6083,0.44,0.69,0.0532363597553401,0.7304999999999999,0.0540254569624357,0.393752071360101,0.3662684086302556,0.4939705203249186,0.0209147605967038
iris,none,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore_3.5,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore_robust,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore_robust_2.5,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore_robust_3.5,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
seeds,none,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_3.5,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,iqr_1.8,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust_2.5,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust_3.5,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.9333333333333336,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
vertebral,iqr,standard,correlation,0.3777131478332295,0.366233235983665,0.3897437460481573,0.0038929222591566,0.7148028673835124,0.7096774193548387,0.7204301075268817,0.0022242446572186,0.7148028673835124,0.0022242446572186,0.5010415385990036,0.4985821532407938,0.5027944785492249,0.0016009714363736
wine,iqr,minmax,euclidean,0.9477552270733064,0.9477552270733064,0.9477552270733064,1.1102230246251563e-16,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.0,0.9813664596273292,0.0,0.3157287958234431,0.3157287958234431,0.3157287958234431,0.0
wine,iqr,standard,euclidean,0.9477552270733064,0.9477552270733064,0.9477552270733064,1.1102230246251563e-16,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.0,0.9813664596273292,0.0,0.3010147337033009,0.3010147337033009,0.3010147337033009,5.551115123125783e-17
