dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
iris,zscore_robust_2.5,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
iris,zscore_robust_3.5,none,cosine,0.9222414299226984,0.922241429922698,0.922241429922698,3.3306690738754696e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885507,0.748523892288551,0.748523892288551,3.3306690738754696e-16
seeds,none,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_3.5,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,iqr_1.8,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust_2.5,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
seeds,zscore_robust_3.5,minmax,chebyshev,0.8110809804859894,0.8110809804859893,0.8110809804859893,1.1102230246251563e-16,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0,0.3833600414509387,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
vertebral,iqr,standard,correlation,0.3768438819852918,0.3752782266345505,0.3806477593343322,0.002007029145907,0.714336917562724,0.7132616487455197,0.7168458781362007,0.0016425002490881,0.5012048757814755,0.4985821532407938,0.5027944785492249,0.0015049378763796
wine,iqr,minmax,euclidean,0.947755227073306,0.9477552270733064,0.9477552270733064,2.220446049250313e-16,0.9813664596273288,0.9813664596273292,0.9813664596273292,2.220446049250313e-16,0.315728795823443,0.3157287958234431,0.3157287958234431,1.1102230246251563e-16
wine,iqr,standard,euclidean,0.947755227073306,0.9477552270733064,0.9477552270733064,2.220446049250313e-16,0.9813664596273288,0.9813664596273292,0.9813664596273292,2.220446049250313e-16,0.3010147337033009,0.3010147337033009,0.3010147337033009,5.551115123125783e-17
