dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,chebyshev,none,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore_2.5,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore_3.5,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,iqr,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,iqr_1.2,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,iqr_1.8,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore_robust,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore_robust_2.5,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
balance,chebyshev,zscore_robust_3.5,standard,0.1210473181367899,0.0001930574885596,0.285044951062517,0.0694904202472908,0.6387839999999999,0.4896,0.7472,0.063152435772502,0.504688,0.0658800869459049,0.3776,0.6416,0.1374392917389956,0.1256922692542784,0.1439260719480883,0.0039904429991709
