dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,none,robust,correlation,0.2259196397748284,0.0954656218444042,0.3745303701678211,0.112058206692189,0.561936,0.472,0.6528,0.0679313705441013,0.3940959739572618,0.3933103273545931,0.3950614613739629,0.0003908845712206
blood,none,none,euclidean,0.079541753214236,0.079541753214236,0.079541753214236,0.0,0.7232620320855615,0.7232620320855615,0.7232620320855615,0.0,0.7025413950356177,0.7025413950356174,0.7025413950356174,3.3306690738754696e-16
cancer,iqr,robust,euclidean,0.7612216399231335,0.7455913260522707,0.7653765334837428,0.0080586779593397,0.9411557788944726,0.9371859296482412,0.942211055276382,0.0020467750607453,0.3553274896744473,0.3546659161992446,0.3578162660811619,0.0012831634566151
ecoli,none,standard,minkowski,0.5044582093393373,0.4109682142938584,0.72209733263838,0.0494506447445684,0.6472023809523809,0.5595238095238095,0.7946428571428571,0.0389992713897867,0.2702176663487684,0.2457645630064652,0.337354540542913,0.0153604231742911
glass,zscore,none,chebyshev,0.2616789275418129,0.2021197956706458,0.2786727483104718,0.0181838715227984,0.5523711340206185,0.4690721649484536,0.5721649484536082,0.0260472032411164,0.4052244072497018,0.2866426256916627,0.4589392912547839,0.0505725680533222
iris,none,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
seeds,none,minmax,chebyshev,0.8110809804859893,0.8110809804859893,0.8110809804859893,0.0,0.9333333333333336,0.9333333333333332,0.9333333333333332,2.220446049250313e-16,0.3833600414509389,0.3833600414509388,0.3833600414509388,1.1102230246251563e-16
vertebral,iqr,standard,correlation,0.3777131478332295,0.366233235983665,0.3897437460481573,0.0038929222591566,0.7148028673835124,0.7096774193548387,0.7204301075268817,0.0022242446572186,0.5010415385990036,0.4985821532407938,0.5027944785492249,0.0016009714363736
wine,iqr,minmax,euclidean,0.9477552270733064,0.9477552270733064,0.9477552270733064,1.1102230246251563e-16,0.9813664596273292,0.9813664596273292,0.9813664596273292,0.0,0.3157287958234431,0.3157287958234431,0.3157287958234431,0.0
