dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,hamming,zscore_robust_2.5,none,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_2.5,minmax,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_2.5,standard,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_2.5,robust,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_3.5,none,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_3.5,minmax,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_3.5,standard,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,hamming,zscore_robust_3.5,robust,0.0213250419465949,-0.004465960066421,0.1011995874066637,0.0213245734534209,0.5366880000000002,0.4704,0.6416,0.034914665342804,0.434448,0.0316237520860507,0.3792,0.5296,0.0759927787280043,0.0687856257384639,0.1070938369792903,0.0047403126296434
balance,manhattan,none,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore_2.5,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore_3.5,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,iqr,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,iqr_1.2,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,iqr_1.8,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore_robust,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore_robust_2.5,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,manhattan,zscore_robust_3.5,standard,0.125008042007014,0.032865949151449,0.2385961925447645,0.0411843530417305,0.6464960000000001,0.5552,0.7216,0.0338496024201171,0.517296,0.0406284676550814,0.4016,0.6048,0.1995261264933623,0.1663668058752993,0.2174254865031553,0.0107768857716696
balance,minkowski,none,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
balance,minkowski,zscore,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
balance,minkowski,zscore_2.5,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
balance,minkowski,zscore_3.5,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
balance,minkowski,iqr,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
balance,minkowski,iqr_1.2,robust,0.1278330091091616,0.0274855344949305,0.2328015781883399,0.0445282825978457,0.6494080000000001,0.552,0.7168,0.0361098980336416,0.512784,0.0365903558878565,0.4096,0.5856,0.1576171157400351,0.1549872655888037,0.1596339209344148,0.0012307399155822
