dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
wine,none,none,euclidean,2370689.6867829673,9.313225746154785e-10,2370689.686782968,2370689.686782968,0.571138193786884,0.0,0.571138193786884,0.571138193786884,0.37111371823084743,1.1102230246251565e-16,0.37111371823084754,0.37111371823084754,0.42875685976453537,1.3218183103392464e-16,0.42875685976453537,0.4287568597645356,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7031609899534428,0.0,0.7031609899534428,0.7031609899534428,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,manhattan,2526864.4630025295,0.0,2526864.4630025295,2526864.4630025295,0.5385443329304518,0.0,0.5385443329304518,0.5385443329304518,0.3715000782119531,5.551115123125783e-17,0.37150007821195313,0.37150007821195313,0.41930221497047826,6.353541660708338e-17,0.41930221497047815,0.41930221497047826,0.7078651685393258,0.0,0.7078651685393258,0.7078651685393258,0.7078651685393258,0.0,0.7078651685393258,0.7078651685393258,0.7082306966661166,0.0,0.7082306966661166,0.7082306966661166,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,cosine,3774788.804371106,11346.323059743849,3768160.46476362,3795718.5032211705,0.6740744595805053,0.0025310697012316586,0.669335982581148,0.675542581791171,0.34177854284738446,0.014708015404857255,0.31620777747767037,0.3504858405734726,0.382324783289943,0.011731417037375638,0.3617105328332671,0.38926197969970344,0.6855056179775282,0.00936636653769325,0.6685393258426966,0.6910112359550562,0.6855056179775282,0.00936636653769325,0.6685393258426966,0.6910112359550562,0.6898822809658717,0.008693172498505944,0.6740655401945724,0.6949855959380865,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,minkowski,2370689.6867829673,9.313225746154785e-10,2370689.686782968,2370689.686782968,0.5749881498327883,1.1102230246251565e-16,0.5749881498327882,0.5749881498327882,0.37111371823084743,1.1102230246251565e-16,0.37111371823084754,0.37111371823084754,0.42875685976453537,1.3218183103392464e-16,0.42875685976453537,0.4287568597645356,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7031609899534428,0.0,0.7031609899534428,0.7031609899534428,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,chebyshev,2370689.6867829673,9.313225746154785e-10,2370689.686782968,2370689.686782968,0.5769851900608064,0.0,0.5769851900608064,0.5769851900608064,0.37111371823084743,1.1102230246251565e-16,0.37111371823084754,0.37111371823084754,0.42875685976453537,1.3218183103392464e-16,0.42875685976453537,0.4287568597645356,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7022471910112361,1.1102230246251565e-16,0.702247191011236,0.702247191011236,0.7031609899534428,0.0,0.7031609899534428,0.7031609899534428,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,correlation,3790344.279169462,1.862645149230957e-09,3790344.279169464,3790344.279169464,0.6652724525180814,0.0,0.6652724525180814,0.6652724525180814,0.32505446290817713,0.0,0.32505446290817713,0.32505446290817713,0.3770365910304634,1.6653345369377348e-16,0.37703659103046355,0.37703659103046355,0.6741573033707867,2.220446049250313e-16,0.6741573033707865,0.6741573033707865,0.6741573033707867,2.220446049250313e-16,0.6741573033707865,0.6741573033707865,0.6807563866387393,4.440892098500626e-16,0.6807563866387397,0.6807563866387397,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,none,hamming,18462558.595928818,720449.5241993372,16950355.8960601,20440830.876401402,0.0049388621125535095,0.0013038194571124656,0.0016674916639281428,0.008173357013837868,0.018712260254772347,0.016944059811355314,-0.009950108716109083,0.06568397662384634,0.04465800523195594,0.02339088467329501,0.0029858628685098623,0.11078441622023964,0.4291573033707865,0.021123819625872967,0.398876404494382,0.4943820224719101,0.41443820224719097,0.024870006688230754,0.3595505617977528,0.47191011235955055,0.31963115478326165,0.05339547638027779,0.19009370816599733,0.43790827456229947,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,euclidean,48.95656353327607,0.0031612619758205128,48.95403581962662,48.96051713667649,0.30116986190520234,0.00022069489628613058,0.3008938518500134,0.3013463273503232,0.8627384659517204,0.007258823823376272,0.8536602842727952,0.8685425493202144,0.8485417208546318,0.00548663099012248,0.8416799159471821,0.8529287764511979,0.952865168539326,0.0027401681793836467,0.949438202247191,0.9550561797752809,0.952865168539326,0.0027401681793836467,0.949438202247191,0.9550561797752809,0.9527124127106182,0.002781038932858751,0.9492343317841528,0.9549361037947518,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,manhattan,50.233636058482034,1.4210854715202004e-14,50.23363605848202,50.23363605848202,0.3255916557391422,0.0,0.3255916557391422,0.3255916557391422,0.8974949815093208,1.1102230246251565e-16,0.8974949815093207,0.8974949815093207,0.8758935341223071,2.220446049250313e-16,0.8758935341223069,0.8758935341223069,0.9662921348314607,0.0,0.9662921348314607,0.9662921348314607,0.9662921348314607,0.0,0.9662921348314607,0.9662921348314607,0.9669286447361316,2.220446049250313e-16,0.9669286447361314,0.9669286447361314,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,cosine,50.67666403458306,0.011063996572043272,50.66992865958982,50.71853072702178,0.4572198869224466,0.0005284131430662941,0.45556860386095915,0.4577313491047108,0.7170178266917029,0.007996351911157095,0.6983594738216348,0.7262962442495577,0.7108865442969617,0.007031768948463761,0.6920381934834651,0.7185679012641965,0.9006741573033711,0.003264233493558199,0.8932584269662921,0.9044943820224719,0.9006741573033711,0.003264233493558199,0.8932584269662921,0.9044943820224719,0.9031066520661194,0.0033707282500080745,0.8959926065658809,0.9071311749506004,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,minkowski,49.29032414874859,0.07476571840664774,49.193335688285885,49.45356958769915,0.2818409067622336,0.0005821208187339078,0.28123016926603656,0.2839957881252977,0.7872103383877956,0.016514797539002795,0.7724235562270082,0.8332601032778996,0.7722919776590861,0.01666726240160387,0.7586073862601578,0.8199919275217613,0.9264606741573036,0.005679161215541144,0.9213483146067416,0.9438202247191011,0.9264606741573036,0.005679161215541144,0.9213483146067416,0.9438202247191011,0.927362220703944,0.005485491920483904,0.9224786527178193,0.9446956890811032,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,chebyshev,52.206533566769984,7.105427357601002e-15,52.20653356676999,52.20653356676999,0.24717907791548183,2.7755575615628914e-17,0.2471790779154818,0.2471790779154818,0.6660205381641938,3.3306690738754696e-16,0.6660205381641942,0.6660205381641942,0.6978702005609473,3.8024125602706314e-16,0.6978702005609476,0.6978702005609477,0.8764044943820228,3.3306690738754696e-16,0.8764044943820225,0.8764044943820225,0.8764044943820228,3.3306690738754696e-16,0.8764044943820225,0.8764044943820225,0.875511489962837,2.220446049250313e-16,0.8755114899628372,0.8755114899628372,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,correlation,50.725626981249896,2.1316282072803006e-14,50.72562698124992,50.72562698124992,0.47885614423346595,5.551115123125783e-17,0.4788561442334659,0.4788561442334659,0.6843018505555112,1.1102230246251565e-16,0.6843018505555113,0.6843018505555113,0.6781231635737264,2.9790409838967276e-16,0.678123163573726,0.6781231635737262,0.8876404494382024,2.220446049250313e-16,0.8876404494382022,0.8876404494382022,0.8876404494382024,2.220446049250313e-16,0.8876404494382022,0.8876404494382022,0.8908338747315782,4.440892098500626e-16,0.8908338747315777,0.8908338747315777,0.0,0.0,0,0,0.0,0.0,0.0,0.0
wine,none,minmax,hamming,127.4537164236803,4.242351750797596,118.3186019023946,139.64608028460788,0.0044967918973928414,0.0011518223261867881,0.0021632596494135336,0.0070293206240621756,0.024738251197014192,0.022131442453112108,-0.007892299348279945,0.12030058359576083,0.05093539027320971,0.025904464329103594,0.0033019349847318745,0.14208486838960246,0.4365730337078651,0.024913624298208075,0.398876404494382,0.5,0.4261235955056179,0.030111258993807403,0.3651685393258427,0.5,0.33733584312800735,0.061974384393912806,0.19009370816599733,0.4640933140933141,0.0,0.0,0,0,0.0,0.0,0.0,0.0
