dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
ecoli,none,none,euclidean,13.92460984200526,0.03728048848285657,13.849215763506223,14.026839062408436,0.2562564451294406,0.004968082882738023,0.25085489261692545,0.27413045470861314,0.42194156247279474,0.016068491459841582,0.3959734598394162,0.47291239403726937,0.6106056558244264,0.0075197322170657286,0.5877586321755831,0.6248893536960801,0.8250595238095236,0.010752082801973716,0.7946428571428571,0.8363095238095238,0.586220238095238,0.02641762629965815,0.5386904761904762,0.6428571428571429,0.576305347733135,0.027648369112678043,0.510315419706361,0.6047125418747052,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,manhattan,15.071227499999997,0.37469725395144016,14.387,15.951800000000002,0.2351455042575981,0.014198348461410455,0.2007059604255393,0.2619740646312946,0.43231934783559867,0.05644445572714346,0.32203235635408756,0.587762680294117,0.6003075221481227,0.025714634647385447,0.5415095298298908,0.6654659665593554,0.8153869047619047,0.0240738857902254,0.7529761904761905,0.8541666666666666,0.5854761904761905,0.05130641632397521,0.46130952380952384,0.7321428571428571,0.5600761553167453,0.05938907534552171,0.3951586630299588,0.6224391948647134,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,cosine,15.434327709652443,0.26645978971695816,14.828968637956542,15.956173947216577,0.3998370651310191,0.012892853894317208,0.3368195673166924,0.4221737739545953,0.3820391917019379,0.022132239069479843,0.3452301577548316,0.49876617503522963,0.5578371439504641,0.012442277715202803,0.531025737920859,0.5888509679278766,0.7847619047619048,0.01601555543442113,0.75,0.8184523809523809,0.5648511904761905,0.02833575607388854,0.5,0.6875,0.5071723934304402,0.032835913882288,0.38752814471152014,0.594787026037026,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,minkowski,13.925651942599979,0.02921833869138813,13.870037642907135,13.985213551321088,0.2620550852733275,0.0032363281455964972,0.2578022393411343,0.271805070524709,0.42564301596122234,0.014662123014663676,0.407208954121983,0.45987587962777726,0.6122524673171209,0.008053748427185928,0.5925532431079429,0.6285229787600926,0.8275595238095238,0.010745819996272523,0.7916666666666666,0.8363095238095238,0.5916666666666667,0.02325241069598168,0.5565476190476191,0.6309523809523809,0.5821459253298559,0.007904508106821322,0.5589550483369424,0.5886834152269866,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,chebyshev,14.529086667398309,0.14903537589956492,14.250262025149647,14.831999213909931,0.26297632197790327,0.004601045613484073,0.25223939218735536,0.27571150899400376,0.41168702641801985,0.027660465531860294,0.3674015899158274,0.4979946954208064,0.5890507283796308,0.014411191306482222,0.5611868646524852,0.6191846485391754,0.8117261904761905,0.014289558014647203,0.7827380952380952,0.8392857142857143,0.5676190476190476,0.027065601207205477,0.5119047619047619,0.6458333333333334,0.5646353609171603,0.012768001727679624,0.53517376711958,0.5911109148782672,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,correlation,15.596993914336608,0.24605798559704553,15.136169586846048,16.128870869678632,0.42501443309396,0.01588939505825843,0.3820594776045458,0.46327475027732695,0.38856053560704323,0.027844751008383902,0.32013924939203603,0.4789519145334806,0.5552225814812299,0.015622671740563192,0.516637029818799,0.5907934550322251,0.7845535714285713,0.01945661618958325,0.7470238095238095,0.8154761904761905,0.5869642857142857,0.028135879100247858,0.5297619047619048,0.6845238095238095,0.5506619765580302,0.018944870887893202,0.46335004487396336,0.5780027611596871,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,none,hamming,69.393612,2.164446683763775,62.6871,74.7297,0.01655638453098428,0.003706814011961293,0.007747709553540967,0.025356403962447933,-1.7482786382336974e-05,0.030498622515127884,-0.04873352227520473,0.09759378989624139,0.10675502057114812,0.022840778427677177,0.05523920510242607,0.15816335677122045,0.46199404761904767,0.014957274515801436,0.4255952380952381,0.49404761904761907,0.2983928571428571,0.03648382247957426,0.23511904761904762,0.4107142857142857,0.15403892655848472,0.04052729548459778,0.07463465553235908,0.26030566673357114,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,minmax,euclidean,17.434534028193383,0.020884764525649573,17.40562659100631,17.49156380070937,0.2709910185096778,0.007790329602651233,0.2585550990359057,0.27944569810438663,0.4388361869766937,0.01548244023668995,0.4102863048681519,0.45856741559029246,0.6032945341043827,0.008833516992419998,0.5863583887858899,0.6279725318108142,0.806904761904762,0.016177340609826747,0.7827380952380952,0.8363095238095238,0.6093750000000001,0.019935478229366865,0.5595238095238095,0.6369047619047619,0.5690232082555329,0.015254110594899043,0.4902869461733419,0.5922216876900177,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,minmax,manhattan,18.989467127402502,0.5446837493697703,18.01627330347585,20.546874384453403,0.23593685042994306,0.01661715641762961,0.20190502751398093,0.27089888738581747,0.43305595805421687,0.05537564245128846,0.33086106701309903,0.59291557942413,0.5964465472656417,0.02649459168316904,0.5356790817372455,0.6700899869462744,0.810922619047619,0.024205981245576984,0.7470238095238095,0.8541666666666666,0.5815178571428572,0.051174718989576595,0.47619047619047616,0.7261904761904762,0.5447697151503696,0.056385009923997115,0.3811145426250863,0.6132790689603258,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ecoli,none,minmax,cosine,26.242057373919494,0.28463612175972863,25.661921976970334,26.775639631092737,0.39102392233206656,0.013720307183665964,0.3504970509238178,0.4188457010599111,0.2879801252920558,0.011515725350953859,0.2562770467458828,0.3118245543320503,0.462087135204535,0.012317561513000645,0.43312989112810935,0.4875823865905406,0.7144345238095238,0.014841465467473966,0.6845238095238095,0.75,0.5460416666666666,0.01802724046573751,0.49107142857142855,0.5803571428571429,0.5029427651363071,0.03139316993980211,0.4214807578549814,0.5410833955272119,0.0,0.0,0,0,0.0,0.0,0.0,0.0
