dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
glass,none,none,euclidean,336.47370756597286,2.0683977765120254,336.0605389372351,357.0436018137302,0.4494282602429239,0.0037141321268796385,0.43563865178307615,0.4519785341078658,0.27043292372355116,0.004383228056823627,0.25521335962038405,0.27388540329969263,0.42533889905190053,0.005818574767325238,0.3815606056436063,0.42771555410943124,0.5884579439252338,0.0032546318036197797,0.5560747663551402,0.5887850467289719,0.5418691588785047,0.0018597896020684486,0.5233644859813084,0.5420560747663551,0.44238418446062205,0.008622376851291382,0.3589283587841627,0.44900129110655423,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,manhattan,409.55366007939404,15.363109198867809,371.98137789739997,441.54529716304995,0.3374472933780032,0.09419356472179798,0.24716615039592585,0.5730880933736072,0.23487154681809091,0.02623286895786312,0.19305354703379954,0.2825837552684992,0.3747151252398961,0.029411029200039768,0.3366656939771626,0.4362259790068278,0.5776635514018691,0.02809790974608028,0.5280373831775701,0.6261682242990654,0.5105140186915889,0.026470013786106465,0.4439252336448598,0.5467289719626168,0.39445255619069136,0.026808707542971984,0.3143790831310498,0.4636144787542303,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,cosine,341.262541679024,5.341799954884262,338.3264261271028,368.43473892283004,0.6335099173858175,0.00857555239708086,0.6021407309417522,0.6558336744376418,0.2783397689517854,0.005830198892175712,0.25402087205685264,0.28291998601389856,0.42931123665070947,0.009777578320472163,0.3888786198248504,0.4363476515181723,0.5850467289719625,0.008816804796314588,0.5467289719626168,0.5934579439252337,0.5391588785046729,0.006764573524933682,0.5186915887850467,0.5467289719626168,0.4391160610599368,0.015253752176782785,0.35399958311167906,0.4484788216607231,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,minkowski,336.4428575354712,0.07350934953247304,336.3396634831133,336.6360480246417,0.4390138372777297,0.0033598359098918366,0.43291314895003086,0.4410749814633897,0.27901439105887327,0.006013928163362016,0.2676921137194687,0.2825437894927245,0.4244231459612004,0.004667102546220334,0.4156389234702413,0.42735067772504576,0.5901869158878505,0.002141390511661633,0.5887850467289719,0.5934579439252337,0.5434579439252337,0.002141390511661633,0.5420560747663551,0.5467289719626168,0.44452169603167396,0.003849715231880353,0.4422158088824755,0.4516125678354365,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,chebyshev,346.3800193936794,4.003304811883508,341.90592513224806,350.49876166827437,0.4347890227914324,0.003530008563602733,0.4276377258178014,0.4387836483599609,0.2714457847348767,0.006024490614979499,0.24863549526314074,0.274747687893389,0.4048151137022223,0.00992517361037071,0.3735956332841436,0.4151326347379897,0.5726635514018692,0.00638581792930673,0.5654205607476636,0.5794392523364486,0.526355140186916,0.006625634345706938,0.5186915887850467,0.5373831775700935,0.42136258046276603,0.009964073142369153,0.409864665322967,0.43758156175055524,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,correlation,345.6313976015849,6.4168095936071445,341.12088230151437,377.2894503268001,0.6449249831116839,0.0126772052990316,0.5925527873137438,0.6601109140099578,0.2737448933184589,0.00595221791537028,0.25022247287145055,0.2772360076550022,0.4203479577091439,0.01082845840038158,0.3634746457966268,0.4342611068324287,0.5740654205607477,0.011975296288541595,0.5233644859813084,0.5981308411214953,0.5285514018691589,0.010362775113084853,0.5046728971962616,0.5560747663551402,0.43194158988586695,0.019164451970949847,0.3308970099667774,0.4551552106430155,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,none,hamming,1253.9516475867742,61.29151172524543,1066.8522611153,1464.6468088129,0.00888043629199491,0.013571055387386921,-0.032209200763733875,0.045142904831403145,0.13186508615888226,0.027681838046556613,0.05999651530730373,0.19405899800458054,0.20690841063817889,0.022550947849623446,0.15692712428234162,0.2775410400809074,0.46009345794392525,0.019066565844288622,0.4205607476635514,0.514018691588785,0.4098598130841121,0.024094166662285074,0.35514018691588783,0.4766355140186916,0.2494536864600124,0.025313947193016665,0.20171182046137082,0.33705500848357994,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,minmax,euclidean,18.38996237072306,0.14633570961954095,18.241181669726682,19.10128168561374,0.3791795338836254,0.003908746085462621,0.3580995974794136,0.382128800204738,0.17172033758156025,0.004499165229111965,0.16177387612581468,0.18091940112158744,0.3344785525962788,0.006487798233475979,0.31685940225544845,0.34875892378269674,0.5489252336448598,0.003268022651384263,0.5420560747663551,0.5560747663551402,0.43528037383177576,0.0025912468472919204,0.42990654205607476,0.4532710280373832,0.36238814545179565,0.009164703439135275,0.34573445813979536,0.4029556734495627,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,minmax,manhattan,20.901245636395355,0.37552887615851105,20.497851063399636,22.145132280438215,0.3448422613635085,0.010750980513214645,0.2914942976487697,0.3559812468672146,0.1698935140922778,0.007847353941701957,0.14631250974663523,0.19684340744846843,0.33511220704132383,0.012974251708353993,0.29715122566122015,0.3616890302234184,0.5488785046728971,0.010182627923739192,0.5186915887850467,0.5654205607476636,0.44172897196261685,0.01377442961962379,0.3925233644859813,0.5,0.3636873561359578,0.03043726885161972,0.2968501608780252,0.42213304204660584,0.0,0.0,0,0,0.0,0.0,0.0,0.0
glass,none,minmax,cosine,18.321936292331046,0.06337230853164093,18.241181669726682,18.597701846260577,0.5431718142516505,0.0026035934550518516,0.5332983406589598,0.5505148997011707,0.1704409344625821,0.003966943512613831,0.1598830949899453,0.1769143574249308,0.33309828899954014,0.005894048165758439,0.31202608741432364,0.3446403434353179,0.5492990654205608,0.0026741876500606344,0.5420560747663551,0.5514018691588785,0.4340654205607477,0.0018568520080659372,0.42990654205607476,0.4392523364485981,0.3637597030770945,0.004257079090361316,0.3437508303756145,0.3684004531678708,0.0,0.0,0,0,0.0,0.0,0.0,0.0
