dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,purity_mean,purity_std,purity_min,purity_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
blood,none,none,euclidean,677749582.2498814,0.0,677749582.2498814,677749582.2498814,0.7025413950356177,3.3306690738754696e-16,0.7025413950356174,0.7025413950356174,0.07954175321423604,0.0,0.07954175321423604,0.07954175321423604,0.018263939673187225,3.469446951953614e-18,0.01826393967318722,0.01826393967318722,0.7232620320855615,0.0,0.7232620320855615,0.7232620320855615,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,manhattan,780913855.0,0.0,780913855.0,780913855.0,0.6343601388531465,1.1102230246251565e-16,0.6343601388531463,0.6343601388531463,0.07254378208515297,0.0,0.07254378208515297,0.07254378208515297,0.019137689877516288,3.469446951953614e-18,0.01913768987751629,0.01913768987751629,0.6804812834224602,2.220446049250313e-16,0.68048128342246,0.68048128342246,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,cosine,1391594617.4549704,0.0,1391594617.4549704,1391594617.4549704,0.6818568107822459,1.1102230246251565e-16,0.6818568107822458,0.6818568107822458,-0.05808788423393472,6.938893903907228e-18,-0.05808788423393471,-0.05808788423393471,0.06720891128051332,2.7755575615628914e-17,0.06720891128051334,0.06720891128051334,0.5227272727272726,1.1102230246251565e-16,0.5227272727272727,0.5227272727272727,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,minkowski,677749582.2498814,0.0,677749582.2498814,677749582.2498814,0.7027873731634483,1.1102230246251565e-16,0.7027873731634484,0.7027873731634484,0.07954175321423604,0.0,0.07954175321423604,0.07954175321423604,0.018263939673187225,3.469446951953614e-18,0.01826393967318722,0.01826393967318722,0.7232620320855615,0.0,0.7232620320855615,0.7232620320855615,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,chebyshev,677749582.2498814,0.0,677749582.2498814,677749582.2498814,0.7028644913783153,2.220446049250313e-16,0.7028644913783151,0.7028644913783151,0.07954175321423604,0.0,0.07954175321423604,0.07954175321423604,0.018263939673187225,3.469446951953614e-18,0.01826393967318722,0.01826393967318722,0.7232620320855615,0.0,0.7232620320855615,0.7232620320855615,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,correlation,1402586811.09855,0.0,1402586811.09855,1402586811.09855,0.5696411407867304,1.1102230246251565e-16,0.5696411407867306,0.5696411407867306,-0.03927526592614268,0.0,-0.03927526592614268,-0.03927526592614268,0.073878223967252,0.0,0.073878223967252,0.073878223967252,0.5106951871657753,1.1102230246251565e-16,0.5106951871657754,0.5106951871657754,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,none,hamming,2118418425.81,63449906.67095122,1936064733.0,2219955984.0,0.09381205997267687,0.023869328844754113,0.0688889011882964,0.13768802830818883,0.0475914906916761,0.05768120706210107,-0.05462159462117948,0.10136832163339861,0.021637877976275956,0.009159391807955422,0.0004428762155218575,0.03164158598649494,0.6585026737967915,0.06142733752786263,0.5574866310160428,0.7553475935828877,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,euclidean,37.96199303609295,0.0,37.96199303609295,37.96199303609295,0.4935078610806093,0.0,0.4935078610806093,0.4935078610806093,-0.006249444947402971,8.673617379884035e-19,-0.006249444947402972,-0.006249444947402972,0.0002705092021185739,5.421010862427522e-20,0.0002705092021185738,0.0002705092021185738,0.5882352941176469,2.220446049250313e-16,0.5882352941176471,0.5882352941176471,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,manhattan,43.37221821253128,0.09334211657278647,43.34202895182171,44.28880311416233,0.43813813042553656,0.00391539562000896,0.41803744761981404,0.44124582343709673,-0.0010187006638672138,0.0007734872205644695,-0.001719013244075266,0.005126945518814441,2.5353098467705543e-05,0.00019403708068376461,3.904258641793227e-09,0.0019548190739778694,0.5570320855614974,0.003701156789858623,0.5467914438502673,0.5601604278074866,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,cosine,55.63281404854933,7.105427357601002e-15,55.63281404854932,55.63281404854932,0.6943038204497621,1.1102230246251565e-16,0.6943038204497622,0.6943038204497622,-0.0006772615862429278,2.168404344971009e-19,-0.000677261586242928,-0.000677261586242928,0.030084864973140557,3.469446951953614e-18,0.030084864973140554,0.030084864973140554,0.5401069518716577,1.1102230246251565e-16,0.5401069518716578,0.5401069518716578,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,minkowski,38.06697672436934,1.4210854715202004e-14,38.066976724369326,38.066976724369326,0.5054061944331405,1.1102230246251565e-16,0.5054061944331404,0.5054061944331404,-0.00968307787071428,0.0,-0.00968307787071428,-0.00968307787071428,0.0007585231908935082,2.168404344971009e-19,0.0007585231908935085,0.0007585231908935085,0.5842245989304812,1.1102230246251565e-16,0.5842245989304813,0.5842245989304813,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,chebyshev,38.75106804414316,7.105427357601002e-15,38.75106804414317,38.75106804414317,0.5278092133595961,1.1102230246251565e-16,0.527809213359596,0.527809213359596,-0.016172577909810696,3.469446951953614e-18,-0.0161725779098107,-0.0161725779098107,0.002499918044913474,0.0,0.002499918044913474,0.002499918044913474,0.5762032085561498,1.1102230246251565e-16,0.5762032085561497,0.5762032085561497,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
blood,none,minmax,correlation,55.45270391894955,0.0,55.45270391894955,55.45270391894955,0.7568875764473312,0.0,0.7568875764473312,0.7568875764473312,0.0024162649839656537,4.336808689942018e-19,0.0024162649839656533,0.0024162649839656533,0.030688134180604457,6.938893903907228e-18,0.030688134180604464,0.030688134180604464,0.5454545454545453,1.1102230246251565e-16,0.5454545454545454,0.5454545454545454,0.7620320855614974,0.0,0.7620320855614974,0.7620320855614974,0.43247344461305026,1.6653345369377348e-16,0.4324734446130501,0.4324734446130501,0.0,0.0,0,0,0.0,0.0,0.0,0.0
