outlier,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max
none,none,euclidean,78.85369443938934,0.0021075009111228664,78.85144142614601,78.8556658259773,0.5519510615634401,0.0008118936239674842,0.551191604619592,0.5528190123564095,0.7228269871636711,0.006932622428495416,0.7163421126838476,0.7302382722834697,0.7495015376996477,0.008113917158415446,0.7419116631817836,0.7581756800057784,0.889777777777778,0.0033259176771323587,0.8866666666666667,0.8933333333333333
none,none,manhattan,78.85369443938934,0.0021075009111228664,78.85144142614601,78.8556658259773,0.5519510615634401,0.0008118936239674842,0.551191604619592,0.5528190123564095,0.7228269871636711,0.006932622428495416,0.7163421126838476,0.7302382722834697,0.7495015376996477,0.008113917158415446,0.7419116631817836,0.7581756800057784,0.889777777777778,0.0033259176771323587,0.8866666666666667,0.8933333333333333
none,none,cosine,0.33560020726983714,0.04833652749793105,0.3226817404832856,0.5167302089919621,0.4846412437082734,0.00820848544124581,0.44961438508585067,0.4868115331911778,0.8730322011233861,0.11540105296600521,0.4396419301869802,0.9038742317748124,0.8829283250412215,0.06272994338413423,0.6475520888746005,0.8996935451597475,0.9366666666666663,0.11227941336980107,0.5066666666666667,0.9666666666666667
none,none,chebyshev,78.85369443938934,0.0021075009111228664,78.85144142614601,78.8556658259773,0.5519510615634401,0.0008118936239674842,0.551191604619592,0.5528190123564095,0.7228269871636711,0.006932622428495416,0.7163421126838476,0.7302382722834697,0.7495015376996477,0.008113917158415446,0.7419116631817836,0.7581756800057784,0.889777777777778,0.0033259176771323587,0.8866666666666667,0.8933333333333333
none,minmax,euclidean,7.2990990488270775,0.9626582888831431,6.982216473785234,10.892252904461213,0.4955950179806242,0.010464646377315624,0.48292893354301647,0.5047687565398589,0.6912494528888973,0.06946738805171028,0.432804702527474,0.7163421126838476,0.7207737760630715,0.03744234977249694,0.5895674488004073,0.7419116631817836,0.8635555555555555,0.07585040507879498,0.58,0.8866666666666667
none,minmax,manhattan,7.2990990488270775,0.9626582888831431,6.982216473785234,10.892252904461213,0.4955950179806242,0.010464646377315624,0.48292893354301647,0.5047687565398589,0.6912494528888973,0.06946738805171028,0.432804702527474,0.7163421126838476,0.7207737760630715,0.03744234977249694,0.5895674488004073,0.7419116631817836,0.8635555555555555,0.07585040507879498,0.58,0.8866666666666667
none,minmax,cosine,2.784988702627225,0.13921280800421806,2.6795792089304613,3.1446918291898927,0.35377341472217627,0.051509517572117226,0.31661044873035626,0.5323532834969982,0.5059396944103098,0.02055633624155284,0.46510738579056304,0.5583714437541352,0.6128661012350131,0.03927331608261757,0.5649585403351178,0.720117603611598,0.6895555555555554,0.05932168008742725,0.5733333333333334,0.7533333333333333
none,minmax,chebyshev,7.2990990488270775,0.9626582888831431,6.982216473785234,10.892252904461213,0.4955950179806242,0.010464646377315624,0.48292893354301647,0.5047687565398589,0.6912494528888973,0.06946738805171028,0.432804702527474,0.7163421126838476,0.7207737760630715,0.03744234977249694,0.5895674488004073,0.7419116631817836,0.8635555555555555,0.07585040507879498,0.58,0.8866666666666667
none,standard,euclidean,147.3296162595222,17.788547247481965,139.8204963597498,197.3146744844617,0.4616113873007859,0.007324661069332131,0.4565352255831263,0.4798814508199817,0.6001190299262652,0.06742655779103915,0.432804702527474,0.645147003482001,0.6492232625218487,0.022520897422343797,0.5895674488004073,0.6728438383674812,0.8026666666666666,0.09070260725559638,0.56,0.8533333333333334
none,standard,manhattan,147.3296162595222,17.788547247481965,139.8204963597498,197.3146744844617,0.4616113873007859,0.007324661069332131,0.4565352255831263,0.4798814508199817,0.6001190299262652,0.06742655779103915,0.432804702527474,0.645147003482001,0.6492232625218487,0.022520897422343797,0.5895674488004073,0.6728438383674812,0.8026666666666666,0.09070260725559638,0.56,0.8533333333333334
none,standard,cosine,29.80484858480808,0.2564541720367167,29.636959919715867,30.196588803356573,0.44744253812679474,0.0009006662536748578,0.4468529136577439,0.4488183285545807,0.6058295208959209,0.0031558929853199367,0.6037635039687198,0.6106502270593906,0.6556561101539309,0.000762722714210263,0.655156790929341,0.6568211883446413,0.822,0.0030550504633039127,0.82,0.8266666666666667
none,standard,chebyshev,147.3296162595222,17.788547247481965,139.8204963597498,197.3146744844617,0.4616113873007859,0.007324661069332131,0.4565352255831263,0.4798814508199817,0.6001190299262652,0.06742655779103915,0.432804702527474,0.645147003482001,0.6492232625218487,0.022520897422343797,0.5895674488004073,0.6728438383674812,0.8026666666666666,0.09070260725559638,0.56,0.8533333333333334
none,robust,euclidean,77.1186620333834,8.794911207764804,73.18403620977307,97.45968887074318,0.44488006844726663,0.004528349661178421,0.4430577774072145,0.45842827065676073,0.5542753345940032,0.04734977148681181,0.432804702527474,0.580252001964217,0.6157443306124366,0.015048600202252191,0.5895674488004073,0.6566239697856393,0.7699999999999998,0.08863992913488275,0.5666666666666667,0.8133333333333334
none,robust,manhattan,77.1186620333834,8.794911207764804,73.18403620977307,97.45968887074318,0.44488006844726663,0.004528349661178421,0.4430577774072145,0.45842827065676073,0.5542753345940032,0.04734977148681181,0.432804702527474,0.580252001964217,0.6157443306124366,0.015048600202252191,0.5895674488004073,0.6566239697856393,0.7699999999999998,0.08863992913488275,0.5666666666666667,0.8133333333333334
none,robust,cosine,37.373997033105844,0.04004173214302248,37.29550812014196,37.40436565682349,0.4298529700877655,0.0016275155501322,0.4283050278669908,0.4319869121755363,0.5234489366748757,0.013087426892127786,0.5022731346445274,0.5386071686540445,0.546029821583128,0.012126352202635011,0.5291248611347417,0.5616850486291458,0.7775555555555557,0.00981055113539737,0.76,0.7866666666666666
