dataset,outlier_method,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max,purity_mean,purity_std,purity_min,purity_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,removed_count_mean,removed_count_std,removed_count_min,removed_count_max,removed_pct_mean,removed_pct_std,removed_pct_min,removed_pct_max
iris,none,none,euclidean,78.85144142614604,2.842170943040401e-14,78.85144142614601,78.85144142614601,0.5528190123564102,1.1102230246251565e-16,0.5528190123564101,0.5528190123564101,0.7302382722834697,0.0,0.7302382722834697,0.7302382722834697,0.7581756800057784,0.0,0.7581756800057784,0.7581756800057784,0.8933333333333331,2.220446049250313e-16,0.8933333333333333,0.8933333333333333,0.8933333333333331,2.220446049250313e-16,0.8933333333333333,0.8933333333333333,0.8917748917748917,2.220446049250313e-16,0.8917748917748919,0.8917748917748919,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,manhattan,81.44,0.0,81.44,81.44,0.5629417175431172,0.0,0.5629417175431172,0.5629417175431172,0.7172759168337548,1.1102230246251565e-16,0.7172759168337549,0.7172759168337549,0.7507393176128088,1.762424413785662e-16,0.7507393176128085,0.7507393176128088,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8847184077577731,0.0,0.8847184077577731,0.8847184077577731,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,cosine,91.98930917874394,1.4210854715202004e-14,91.98930917874395,91.98930917874395,0.7485238922885508,2.220446049250313e-16,0.748523892288551,0.748523892288551,0.9222414299226979,2.220446049250313e-16,0.9222414299226981,0.9222414299226981,0.9143625311854002,3.3306690738754696e-16,0.9143625311853999,0.9143625311853999,0.9733333333333332,2.220446049250313e-16,0.9733333333333334,0.9733333333333334,0.9733333333333332,2.220446049250313e-16,0.9733333333333334,0.9733333333333334,0.9732905982905983,1.1102230246251565e-16,0.9732905982905984,0.9732905982905984,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,minkowski,78.85566582597733,2.842170943040401e-14,78.8556658259773,78.8556658259773,0.5493885701588411,1.1102230246251565e-16,0.549388570158841,0.549388570158841,0.7163421126838475,1.1102230246251565e-16,0.7163421126838476,0.7163421126838476,0.7419116631817834,2.220446049250313e-16,0.7419116631817836,0.7419116631817836,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8852785369639302,0.0,0.8852785369639302,0.8852785369639302,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,chebyshev,79.40750268706074,2.842170943040401e-14,79.40750268706077,79.40750268706077,0.5447351327818114,0.0,0.5447351327818114,0.5447351327818114,0.7155592175135398,2.220446049250313e-16,0.7155592175135396,0.7155592175135396,0.7352943572511148,2.730787568572e-16,0.7352943572511145,0.7352943572511146,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8857411701448399,0.0,0.8857411701448399,0.8857411701448399,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,correlation,94.36139999999999,1.4210854715202004e-14,94.3614,94.3614,0.8055770269167283,4.440892098500626e-16,0.8055770269167287,0.8055770269167287,0.8856653061224489,1.1102230246251565e-16,0.885665306122449,0.885665306122449,0.8622701718997609,3.3306690738754696e-16,0.8622701718997605,0.8622701718997605,0.96,0.0,0.96,0.96,0.96,0.0,0.96,0.96,0.96,0.0,0.96,0.96,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,none,hamming,374.9592999999999,48.8474063642073,271.31,552.97,0.06389305414680488,0.011567522770252976,0.029177908002960322,0.08433988651015056,0.26174770970465067,0.04210929100085972,0.14719208468905645,0.33861606932382865,0.34398091576152856,0.052342935865458476,0.2080530223443488,0.46077466849210974,0.5710666666666667,0.04978370996398097,0.4533333333333333,0.6666666666666666,0.6049333333333333,0.02425091063582286,0.5466666666666666,0.6666666666666666,0.5439590895517198,0.05293283178383662,0.44906910132474037,0.6649806146094587,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,minmax,euclidean,6.9822164737852335,8.881784197001252e-16,6.982216473785234,6.982216473785234,0.5047687565398588,0.0,0.5047687565398588,0.5047687565398588,0.7163421126838475,1.1102230246251565e-16,0.7163421126838476,0.7163421126838476,0.7419116631817834,2.220446049250313e-16,0.7419116631817836,0.7419116631817836,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8866666666666668,1.1102230246251565e-16,0.8866666666666667,0.8866666666666667,0.8852785369639302,0.0,0.8852785369639302,0.8852785369639302,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,minmax,manhattan,7.192498031642673,0.0,7.192498031642673,7.192498031642673,0.5319975951850625,1.1102230246251565e-16,0.5319975951850624,0.5319975951850624,0.7436826319432356,2.220446049250313e-16,0.7436826319432358,0.7436826319432358,0.7660355440487249,3.3306690738754696e-16,0.7660355440487252,0.7660355440487252,0.9000000000000005,4.440892098500626e-16,0.9,0.9,0.9000000000000005,4.440892098500626e-16,0.9,0.9,0.8987751796740561,0.0,0.8987751796740561,0.8987751796740561,0.0,0.0,0,0,0.0,0.0,0.0,0.0
iris,none,minmax,cosine,10.67571021728429,0.21537501238311116,10.469573136154779,11.176761843012976,0.6031293579856151,0.011290216031362144,0.5685386648222076,0.6133812361666798,0.5050167369832885,0.005392845788014184,0.5008747759269195,0.5274899292702139,0.5898224137959609,0.0026470077736831564,0.5866200485922519,0.6001736861189073,0.6932666666666668,0.018293775504860162,0.68,0.7533333333333333,0.6932666666666668,0.018293775504860162,0.68,0.7533333333333333,0.6866923593711968,0.02063313668312543,0.6715927750410509,0.7533086641997534,0.0,0.0,0,0,0.0,0.0,0.0,0.0
