dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
balance,chebyshev,none,none,0.1186493850208293,-0.0021155280592582,0.2754299541184352,0.068071035231501,0.6404799999999998,0.4688,0.752,0.0611620797553516,0.122152561956775,0.0754507709388699,0.1379090768420714,0.0138341173113526
balance,correlation,none,none,0.1746794004147104,0.024717844394128,0.4709010341182327,0.104845796958964,0.6785919999999999,0.5632,0.8256,0.0644481429988483,0.1411547011880654,0.1228974663232217,0.1526093133257812,0.0060602396709167
balance,cosine,none,none,0.197628939444762,0.0848450541612511,0.3890951321860126,0.0943230513220001,0.6915519999999998,0.6128,0.784,0.0497919280205135,0.1643986735340643,0.1605808285345494,0.1657125811629259,0.0010704791519729
balance,euclidean,none,none,0.1326382377610273,0.0509596610366267,0.3140627919036132,0.0476252512586442,0.6516640000000001,0.5808,0.7552,0.0342424634627825,0.1706519017800586,0.1622055505148857,0.1751024333403023,0.0032195924121188
balance,hamming,none,standard,0.0304026087833057,-0.0039254240541777,0.2046410784469159,0.0396131259847675,0.53496,0.4608,0.6896,0.0505439848053158,0.044052246800873,-0.0324157586210373,0.1066742840104016,0.0171773520292878
balance,manhattan,none,standard,0.1229992236971773,0.0056865890618549,0.3156147190509554,0.056139726629019,0.644432,0.512,0.7632,0.0446975142038122,0.1628944615397009,0.1283165503646224,0.1743219436831258,0.0111336947190208
balance,minkowski,none,none,0.1336635656450384,0.0036318948688768,0.3304501393097622,0.0897371708555625,0.647248,0.5056,0.7696,0.0702206643090194,0.1616969393057373,0.1549264018302484,0.1751024333403023,0.0037040492553271
blood,chebyshev,none,none,0.0787568410149399,0.0695947516794024,0.079541753214236,0.0025294968223533,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.7034021166423513,0.7025413950356174,0.7166412586354151,0.0029953870287964
blood,correlation,zscore,minmax,0.1106257427623965,0.0616212204972933,0.1221206307011244,0.0237339733700081,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.0,0.2810851884774857,0.2791869435558674,0.281530455804779,0.0009193619759359
blood,cosine,zscore,minmax,0.0453261337039797,0.0453261337039797,0.0453261337039797,1.3877787807814457e-17,0.7654320987654321,0.7654320987654321,0.7654320987654321,0.0,0.2887191234755244,0.2887191234755245,0.2887191234755245,5.551115123125783e-17
blood,euclidean,none,robust,0.079271731201604,-0.0036486420711699,0.0820596763040499,0.0101473542356343,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5519372507109408,0.5499726141012997,0.6605993674621067,0.0112201142280496
blood,hamming,none,none,0.0107907042538394,-0.046735556852585,0.0997217242022325,0.0345409579840538,0.7620320855614973,0.7620320855614974,0.7620320855614974,1.1102230246251563e-16,0.0175565881765819,-0.296440156383137,0.3789549969240338,0.2232216169995111
blood,manhattan,none,none,0.078646523076101,0.0695947516794024,0.079541753214236,0.0028466504101896,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.7030755037485524,0.7025413950356174,0.7084759362904475,0.0016983574636225
blood,minkowski,none,robust,0.0796113968054622,-0.0036486420711699,0.0820596763040499,0.0096347159720009,0.7620320855614974,0.7620320855614974,0.7620320855614974,0.0,0.5522353163910307,0.5501475784302086,0.6605993674621067,0.0112854670226157
cancer,chebyshev,iqr,none,0.6591406403945419,0.6591406403945421,0.6591406403945421,2.220446049250313e-16,0.917085427135678,0.9170854271356784,0.9170854271356784,3.3306690738754696e-16,0.6678486815214042,0.6678486815214042,0.6678486815214042,0.0
cancer,correlation,none,standard,0.1980941017591724,0.1962491730268699,0.2025228126806338,0.0018301097325296,0.7233567662565905,0.7223198594024605,0.7258347978910369,0.0010276312060487,0.1344536665752512,0.1342153788185951,0.1351296873186014,0.0002464399717377
cancer,cosine,none,standard,0.6895101130661684,0.6895101130661687,0.6895101130661687,3.3306690738754696e-16,0.9156414762741651,0.9156414762741651,0.9156414762741651,1.1102230246251563e-16,0.3208794419097734,0.3208794419097734,0.3208794419097734,5.551115123125783e-17
cancer,euclidean,iqr,robust,0.7557775571818723,0.7455913260522707,0.7653765334837428,0.0040123610008019,0.9395226130653264,0.9371859296482412,0.942211055276382,0.0009570852741075,0.3520958383528904,0.350418735578808,0.3581241488455417,0.0030450047237617
cancer,hamming,iqr,none,0.0069674481869979,-0.0125220681662448,0.0235932985402631,0.0112900724572802,0.755567310235387,0.7537688442211056,0.7587939698492462,0.0022668291285073,0.137210765547935,-0.3352769987235106,0.512952103364787,0.3253110297060894
cancer,manhattan,iqr,minmax,0.7349315070774104,0.7349315070774105,0.7349315070774105,1.1102230246251563e-16,0.934673366834171,0.9346733668341708,0.9346733668341708,1.1102230246251563e-16,0.3325198426203433,0.3325198426203434,0.3325198426203434,5.551115123125783e-17
cancer,minkowski,zscore,minmax,0.7271617038339265,0.7100511794887737,0.7319151853353071,0.0084162264296094,0.927979797979798,0.9232323232323232,0.9292929292929292,0.0023276199235965,0.3584747944055084,0.3571216361485758,0.3627797855124586,0.0023485561855442
ecoli,chebyshev,none,minmax,0.4466197774591284,0.3276138286017269,0.6551866599363897,0.073826643283115,0.7989285714285714,0.7410714285714286,0.8541666666666666,0.0224473432716356,0.2245855781761765,0.1243525743663427,0.2984289668425123,0.0310619938508708
ecoli,correlation,iqr,none,0.4036757355523129,0.4029573090367414,0.4041959754428992,0.000611354342305,0.6592810457516342,0.6535947712418301,0.6633986928104575,0.0048388088938247,0.0363804231974563,-0.0357209595229976,0.0885917693053712,0.0613556048627739
