dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
ecoli,none,standard,minkowski,0.4747182551608471,0.372811593078492,0.7175017044386933,0.0766117918687229,0.8209821428571427,0.7708333333333334,0.8541666666666666,0.0186641790662064,0.2431451101168709,0.1669102844965042,0.3193678402837816,0.0253951587837376
ecoli,zscore,minmax,minkowski,0.4151150897258515,0.293860575285781,0.6976605803045928,0.0781328011621196,0.8311490683229813,0.7515527950310559,0.8850931677018633,0.0263139158498816,0.2242546376012166,0.1816756612531652,0.2958965479287195,0.0209658573953189
glass,iqr,robust,manhattan,0.2005968196398683,0.0572106034568944,0.3146961432698141,0.0701569522892688,0.67875,0.5220588235294118,0.7720588235294118,0.0710820274614313,0.2078437953741328,0.0782005543045749,0.4249810337067464,0.0425583824114795
glass,none,none,chebyshev,0.2475401822563214,0.1726391502302975,0.290575159233952,0.0329022546619115,0.5624766355140186,0.4906542056074766,0.6401869158878505,0.0238423560900602,0.3562442189421645,0.1671043160604766,0.5624956528503953,0.0844898799209263
glass,zscore,none,cosine,0.2309533018369007,0.1636376360026896,0.2809774708181214,0.0310709066643442,0.6076288659793814,0.5154639175257731,0.6752577319587629,0.0454736179659943,0.2984815011117813,0.219768684431518,0.4707596853695445,0.0618624174171214
iris,iqr,none,cosine,0.8477599573263072,0.4359721999114274,0.9188032745638312,0.1652149850805827,0.928082191780822,0.6643835616438356,0.9726027397260274,0.1064291880891366,0.4848273015836388,0.436457407887001,0.4922912567735946,0.0145604986782994
iris,none,none,cosine,0.8462191899267236,0.4394281414597442,0.922241429922698,0.1693206900468024,0.9257999999999998,0.6666666666666666,0.9733333333333334,0.108892015828118,0.4870956247357159,0.452311891855419,0.4942048780331523,0.0127961906393196
iris,zscore,none,cosine,0.8450222640156067,0.4381462109232453,0.9211918194640338,0.1677992131979396,0.92503355704698,0.6644295302013423,0.9731543624161074,0.1095134832286576,0.4873773625683651,0.4463683440410603,0.5580134394106496,0.015473673658166
seeds,iqr,standard,euclidean,0.7666180885042092,0.7445575376813889,0.793600719998029,0.0239895190907436,0.9161951219512195,0.9073170731707316,0.926829268292683,0.0096427562638526,0.4024344046989261,0.4009484021484562,0.4045572768146682,0.0016711341301979
seeds,none,standard,euclidean,0.7766183074194981,0.7704446622657143,0.8227344478849459,0.0101486351136308,0.9204285714285716,0.919047619047619,0.938095238095238,0.0038858426682806,0.4022828936542419,0.4007270552751298,0.4040711073177701,0.001571324885787
seeds,zscore,standard,euclidean,0.7786515867769732,0.7565413275221635,0.8093867307205523,0.0104228064263671,0.92125,0.9134615384615384,0.9326923076923076,0.0039516774207759,0.4055474066568039,0.4037982366035469,0.4078835088995659,0.0018649148143806
vertebral,iqr,none,chebyshev,0.4111624734517556,0.4096706760821799,0.4156378655604827,0.0025838688387027,0.7526881720430108,0.7526881720430108,0.7526881720430108,0.0,0.3667111738156566,0.3658564735153217,0.3692752747166611,0.0014803843454243
vertebral,none,none,chebyshev,0.3765962071684195,0.1686619987979334,0.3852601325171899,0.0424443925481038,0.7153548387096776,0.6193548387096774,0.7193548387096774,0.0195959179422654,0.4181827992687302,0.4171771428263262,0.4423185538864209,0.0049266902808638
vertebral,zscore,none,chebyshev,0.4002521092368878,0.3886546207192926,0.4094343140099775,0.0048761899749723,0.7598322147651005,0.7516778523489933,0.761744966442953,0.0033306108726763,0.3543152631041449,0.3510690664972076,0.3654592546440668,0.0049295331632842
wine,iqr,standard,euclidean,0.9359252063659176,0.3456055164196608,0.9477552270733064,0.0828238371040072,0.9740993788819876,0.6149068322981367,0.9813664596273292,0.0508714611466891,0.2992299319303859,0.2070295304707558,0.3010147337033009,0.0125116215300124
wine,none,minmax,manhattan,0.8840449713153877,0.86494782721085,0.8974949815093207,0.0079986741766945,0.961741573033708,0.9550561797752808,0.9662921348314608,0.0027170342223244,0.2984477198062191,0.2975466101222726,0.2995223016907058,0.0009428862882947
wine,zscore,standard,euclidean,0.9367386053849492,0.3456730986620147,0.9653440352917028,0.0600974645150151,0.9770833333333336,0.625,0.988095238095238,0.0355190596690458,0.2981183316449396,0.2030373308776568,0.2995483914932954,0.0095596952177212
